Fecha,Departamento,Localidad,Confirmados,Descartados,En estudio,Notificaciones
2020-11-22T00:00:00-03:00,9 de Julio,ANTONIO PINI,3,0,0,3
2020-11-22T00:00:00-03:00,9 de Julio,GATO COLORADO,1,3,0,4
2020-11-22T00:00:00-03:00,9 de Julio,GREGORIA PEREZ DE DENIS,12,7,0,19
2020-11-22T00:00:00-03:00,9 de Julio,LOGROÑO,3,5,0,8
2020-11-22T00:00:00-03:00,9 de Julio,MONTEFIORE,0,1,0,1
2020-11-22T00:00:00-03:00,9 de Julio,POZO BORRADO,8,5,0,13
2020-11-22T00:00:00-03:00,9 de Julio,SANTA MARGARITA,3,4,0,7
2020-11-22T00:00:00-03:00,9 de Julio,TOSTADO,395,311,0,706
2020-11-22T00:00:00-03:00,9 de Julio,VILLA MINETTI,56,43,0,99
2020-11-22T00:00:00-03:00,Belgrano,ARMSTRONG,428,282,0,710
2020-11-22T00:00:00-03:00,Belgrano,BOUQUET,29,9,0,38
2020-11-22T00:00:00-03:00,Belgrano,LA CALIFORNIA,1,0,0,1
2020-11-22T00:00:00-03:00,Belgrano,LAS PAREJAS,668,379,0,1047
2020-11-22T00:00:00-03:00,Belgrano,LAS ROSAS,356,245,0,601
2020-11-22T00:00:00-03:00,Belgrano,MONTES DE OCA,87,50,0,137
2020-11-22T00:00:00-03:00,Belgrano,TORTUGAS,39,54,0,93
2020-11-22T00:00:00-03:00,Caseros,AREQUITO,375,138,0,513
2020-11-22T00:00:00-03:00,Caseros,ARTEAGA,119,81,0,200
2020-11-22T00:00:00-03:00,Caseros,BERAVEBU,37,26,0,63
2020-11-22T00:00:00-03:00,Caseros,BIGAND,170,123,0,293
2020-11-22T00:00:00-03:00,Caseros,CASILDA,2545,1348,0,3893
2020-11-22T00:00:00-03:00,Caseros,CHABAS,415,205,0,620
2020-11-22T00:00:00-03:00,Caseros,CHAÑAR LADEADO,293,116,0,409
2020-11-22T00:00:00-03:00,Caseros,GODEKEN,189,16,0,205
2020-11-22T00:00:00-03:00,Caseros,LOS MOLINOS,107,37,0,144
2020-11-22T00:00:00-03:00,Caseros,LOS QUIRQUINCHOS,54,20,0,74
2020-11-22T00:00:00-03:00,Caseros,SANFORD,73,32,0,105
2020-11-22T00:00:00-03:00,Caseros,SAN JOSE DE LA ESQUINA,109,109,0,218
